,Airline,Departure_time,Time_of_arrival,Duration,Source,Destination,Meal_availability,Number_of_stops,Price
0,Air Asia,12:40,20:15,7h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,953"
1,Air Asia,11:55,20:15,8h 20m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,953"
2,Air Asia,16:15,06:20,14h 05m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,953"
3,Go First,18:50,20:45,1h 55m,New Delhi,Mumbai,No Meal Fare,Non Stop,"5,954"
4,Go First,09:05,11:05,2h 00m,New Delhi,Mumbai,No Meal Fare,Non Stop,"5,954"
5,Go First,06:15,08:20,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"5,954"
6,Go First,14:20,16:25,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"5,954"
7,Go First,20:30,22:35,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"5,954"
8,Go First,22:45,01:00,2h 15m,New Delhi,Mumbai,eCash 250,Non Stop,"5,954"
9,Go First,17:45,22:25,4h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
10,Go First,08:10,13:00,4h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
11,Go First,10:40,15:40,5h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
12,Go First,15:30,21:05,5h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
13,Go First,08:10,14:55,6h 45m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
14,Go First,12:35,19:20,6h 45m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
15,Go First,10:40,17:30,6h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
16,Go First,08:50,15:45,6h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
17,Go First,15:30,22:45,7h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
18,Go First,08:10,15:40,7h 30m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
19,Go First,08:10,17:30,9h 20m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,954"
20,Vistara,06:00,08:00,2h 00m,New Delhi,Mumbai,No Meal Fare,Non Stop,"5,955"
21,SpiceJet,18:40,20:40,2h 00m,New Delhi,Mumbai,No Meal Fare,Non Stop,"5,955"
22,IndiGo,14:00,16:05,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"5,955"
23,Vistara,15:10,17:15,2h 05m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
24,IndiGo,05:00,07:10,2h 10m,New Delhi,Mumbai,eCash 250,Non Stop,"5,955"
25,Vistara,09:30,11:40,2h 10m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
26,Vistara,10:20,12:30,2h 10m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
27,Vistara,12:45,14:55,2h 10m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
28,Vistara,16:55,19:05,2h 10m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
29,IndiGo,21:55,00:05,2h 10m,New Delhi,Mumbai,eCash 250,Non Stop,"5,955"
30,SpiceJet,06:50,09:05,2h 15m,New Delhi,Mumbai,eCash 250,Non Stop,"5,955"
31,IndiGo,15:35,17:50,2h 15m,New Delhi,Mumbai,eCash 250,Non Stop,"5,955"
32,Vistara,08:50,11:10,2h 20m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
33,Vistara,17:45,20:05,2h 20m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
34,Vistara,18:55,21:15,2h 20m,New Delhi,Mumbai,Free Meal,Non Stop,"5,955"
35,SpiceJet,20:20,22:40,2h 20m,New Delhi,Mumbai,eCash 250,Non Stop,"5,955"
36,Air India,15:05,18:15,3h 10m,New Delhi,Mumbai,Free Meal,1 Stop,"5,955"
37,SpiceJet,06:20,09:55,3h 35m,New Delhi,Mumbai,eCash 250,1 Stop,"5,955"
38,Air India,17:50,21:35,3h 45m,New Delhi,Mumbai,Free Meal,1 Stop,"5,955"
39,IndiGo,13:45,17:45,4h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
40,IndiGo,08:55,13:10,4h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
41,IndiGo,18:10,22:35,4h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
42,IndiGo,08:10,13:10,5h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
43,IndiGo,09:35,14:50,5h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
44,IndiGo,13:10,18:35,5h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
45,IndiGo,13:50,19:30,5h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
46,IndiGo,07:20,13:10,5h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
47,IndiGo,11:30,18:45,7h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
48,IndiGo,13:50,21:30,7h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
49,IndiGo,08:55,16:40,7h 45m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
50,IndiGo,09:35,18:35,9h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
51,IndiGo,07:20,16:40,9h 20m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
52,IndiGo,08:10,17:45,9h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
53,IndiGo,08:10,18:45,10h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
54,IndiGo,08:55,19:30,10h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
55,SpiceJet,11:20,11:30,24h 10m,New Delhi,Mumbai,No Meal Fare,1 Stop,"5,955"
56,Vistara,21:40,23:50,2h 10m,New Delhi,Mumbai,Free Meal,Non Stop,"6,060"
57,Vistara,19:45,22:00,2h 15m,New Delhi,Mumbai,Free Meal,Non Stop,"6,060"
58,Air Asia,19:55,22:15,2h 20m,New Delhi,Mumbai,eCash 250,Non Stop,"6,139"
59,IndiGo,19:05,21:05,2h 00m,New Delhi,Mumbai,No Meal Fare,Non Stop,"6,165"
60,IndiGo,11:00,13:05,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
61,IndiGo,12:00,14:05,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
62,IndiGo,13:10,15:15,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
63,IndiGo,20:30,22:35,2h 05m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
64,IndiGo,06:10,08:20,2h 10m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
65,IndiGo,08:55,11:05,2h 10m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
66,IndiGo,10:10,12:25,2h 15m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
67,IndiGo,17:45,20:10,2h 25m,New Delhi,Mumbai,eCash 250,Non Stop,"6,165"
68,Air India,12:25,23:25,11h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"7,468"
69,Air India,20:00,09:40,13h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"7,468"
70,Air India,12:25,09:40,21h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"7,468"
71,Air India,13:00,15:50,26h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"8,160"
72,Vistara,13:20,16:00,26h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"8,370"
73,IndiGo,07:40,16:50,9h 10m,New Delhi,Mumbai,No Meal Fare,1 Stop,"8,885"
74,IndiGo,12:30,22:35,10h 05m,New Delhi,Mumbai,No Meal Fare,1 Stop,"8,948"
75,Vistara,17:10,21:35,4h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
76,Vistara,13:40,21:35,7h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
77,Air India,06:20,20:00,13h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
78,Air India,06:00,23:05,17h 05m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
79,Vistara,17:10,15:00,21h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
80,Air India,20:10,20:00,23h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
81,Vistara,13:40,15:00,25h 20m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,000"
82,Air India,07:10,13:25,6h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
83,Vistara,07:10,15:00,7h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
84,Air India,21:25,09:20,11h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
85,Air India,09:45,23:30,13h 45m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
86,Vistara,20:35,10:40,14h 05m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
87,Air India,08:20,23:30,15h 10m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
88,Air India,17:40,09:20,15h 40m,New Delhi,Mumbai,No Meal Fare,2 Stop(s),"9,840"
89,Vistara,17:45,10:40,16h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
90,Vistara,20:35,15:00,18h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
91,Air India,18:30,13:25,18h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
92,Vistara,14:45,10:40,19h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
93,Vistara,17:45,15:00,21h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
94,Air India,09:45,09:20,23h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
95,Vistara,14:45,15:00,24h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
96,Air India,08:20,09:20,25h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
97,Air India,21:25,23:30,26h 05m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,840"
98,Air India,13:00,19:25,6h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"9,988"
99,Vistara,17:45,23:00,5h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,050"
100,Vistara,14:45,23:00,8h 15m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,050"
101,Vistara,07:10,23:00,15h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,050"
102,Vistara,08:15,13:35,5h 20m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,470"
103,Vistara,08:15,14:45,6h 30m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,470"
104,Vistara,17:10,13:35,20h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,470"
105,Vistara,17:10,14:45,21h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,470"
106,Vistara,11:10,13:35,26h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,470"
107,Vistara,11:10,14:45,27h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,470"
108,Air India,10:15,15:40,5h 25m,New Delhi,Mumbai,No Meal Fare,1 Stop,"10,680"
109,Go First,12:20,18:15,5h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"11,295"
110,Go First,11:20,18:15,6h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"11,295"
111,Go First,09:10,18:15,9h 05m,New Delhi,Mumbai,No Meal Fare,1 Stop,"11,295"
112,Air Asia,08:00,16:35,8h 35m,New Delhi,Mumbai,No Meal Fare,1 Stop,"11,836"
113,Air India,04:55,13:45,8h 50m,New Delhi,Mumbai,No Meal Fare,1 Stop,"11,900"
114,Vistara,07:30,13:00,5h 30m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
115,Vistara,14:50,20:20,5h 30m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
116,Vistara,17:30,23:15,5h 45m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
117,Vistara,06:20,13:00,6h 40m,New Delhi,Mumbai,No Meal Fare,1 Stop,"12,990"
118,Vistara,14:50,23:15,8h 25m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
119,Vistara,07:30,20:20,12h 50m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
120,Vistara,06:20,20:20,14h 00m,New Delhi,Mumbai,No Meal Fare,1 Stop,"12,990"
121,Vistara,07:30,23:15,15h 45m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
122,Vistara,06:20,23:15,16h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"12,990"
123,Air India,20:15,16:45,20h 30m,New Delhi,Mumbai,Free Meal,2 Stop(s),"12,990"
124,Vistara,20:30,20:20,23h 50m,New Delhi,Mumbai,Free Meal,1 Stop,"12,990"
125,IndiGo,13:40,18:35,4h 55m,New Delhi,Mumbai,No Meal Fare,1 Stop,"13,253"
126,Air India,07:00,19:45,12h 45m,New Delhi,Mumbai,Free Meal,1 Stop,"13,830"
127,Air India,16:55,16:45,23h 50m,New Delhi,Mumbai,Free Meal,2 Stop(s),"14,250"
128,Air India,07:20,15:50,8h 30m,New Delhi,Mumbai,No Meal Fare,1 Stop,"14,355"
